Node	x_coordinates	y_coordinates	demand

Main depot:
0	 18.37 		-66.00		0	

Satellite:
1	18.23045	-65.8957	0	
2	18.42878	-66.65266	0	
3	18.0389		-67.16445714	0	
4	18.48085	-67.0271	0	
5	18.2003		-67.1397	0	
6	18.2257		-66.3916	0	
7	18.06470714	-66.607	0	0
8	18.00124286	-66.25228571	0	
9	18.4037		-66.0636	0	
10	18.05778333	-65.8813	0	

Hotspot:				
11	18.05778333	-65.8813	0
12	18.2853		-67.148025	0
13	18.1638		-66.7235	0
14	18.36895	-67.17185	0
15	18.23415	-66.11915	0
16	18.12955	-66.263	0
17	17.996175	-66.04855	0
18	18.44058	-66.56362	0
19	18.1848		-66.3102	0
20	18.2343375	-66.0532125	0
21	18.432575	-66.8568	0
22	18.3406		-65.89896667	0
23	18.4054		-65.9792	0
24	18.1204		-66.13285	0
25	18.3343		-66.4704	0
26	18.2203		-66.2243	0
27	18.3411		-66.3124	0
28	18.3839		-66.1134	0
29	18.24986667	-65.98163333	0
30	18.44986	-66.79316	0
31	18.1406125	-65.8092125	0
32	18.036575	-66.507675	0
33	18.431		-65.8657	0
34	18.36303333	-65.72613333	0
35	18.442825	-66.48005	0
36	18.00546667	-65.9069	0
37	18.4213		-67.0912	0
38	18.33976667	-66.42586667	0
39	18.2202		-65.75502	0
40	17.99575	-65.99925	0
41	18.04455	-66.7192	0
42	18.4628		-66.94595	0
43	18.3312		-67.24885	0
44	18.0818		-67.06555	0
45	18.1752		-65.98335	0
46	18.333		-66.98236667	0
47	17.98958333	-66.39556667	0
48	18.281		-66.7199	0
49	18.4443		-66.32785	0
50	18.432225	-66.37195	0

Customer:
51	18.18156	-66.758147	2.56667
52	18.358577	-67.174708	3.861
53	18.452658	-67.125609	5.234
54	18.492624	-67.096282	3.879
55	18.248401	-66.130662	2.66667
56	18.129715	-66.266406	2.58733
57	18.293389	-67.12067	2.66667
58	18.412693	-66.703445	2.59433
59	18.40367	-66.664759	2.51367
60	18.452224	-66.603112	2.42367
61	18.382061	-66.619218	2.37767
62	17.995867	-66.055529	3.95
63	18.437505	-66.559407	3.9375
64	18.050377	-66.495548	2.59267
65	18.319539	-66.16889	5.98833
66	18.368533	-66.187693	10.1907
67	18.382818	-66.154751	9.98533
68	18.411177	-66.158209	8.57733
69	17.988103	-67.160357	2.41567
70	18.082397	-67.151152	2.63467
71	18.214723	-66.054737	4.97733
72	18.029147	-66.665621	5.01467
73	18.41503	-66.861879	2.549
74	18.025316	-66.620976	10.5293
75	18.438709	-65.999474	7.22
76	18.415125	-65.995854	8.57033
77	18.414757	-65.975487	11.343
78	18.354723	-65.939382	4.73133
79	18.375884	-65.964094	7.27
80	18.441934	-66.145498	7.571
81	18.217753	-65.770613	3.8915
82	18.104923	-66.151525	2.58333
83	18.015522	-66.258052	2.432
84	18.191074	-66.613308	2.61533
85	18.23426	-65.732493	6.63583
86	18.438969	-65.905174	3.932
87	18.30391	-66.326179	2.62967
88	18.010626	-66.134578	2.62133
89	18.435949	-66.278379	3.8555
90	18.174611	-66.163688	3.972
91	18.15838	-65.767181	2.59133
92	18.349453	-66.578059	2.66667
93	17.965557	-66.945483	2.479
94	17.995409	-66.990374	2.608
95	18.144021	-65.817887	3.9665
96	18.037037	-66.79272	2.53333
97	18.411812	-66.121215	2.53267
98	18.425004	-66.121281	7.387
99	18.400335	-66.114661	9.33333
100	18.407775	-66.101312	9.20967
101	18.368624	-66.108963	10.928
102	18.318375	-66.119257	4.75
103	18.094013	-66.565902	2.57567
104	18.407397	-66.794979	2.58633
105	18.135593	-67.113645	3.95
106	18.345798	-65.812326	2.62133
107	18.199014	-66.309782	2.61467
108	18.460356	-67.007868	2.62733
109	18.210897	-66.586977	2.66667
110	18.465424	-66.104723	10.3027
111	18.272581	-65.981177	3.913
112	18.016871	-67.037189	2.63167
113	18.278219	-66.866712	2.66667
114	18.227596	-66.97758	2.62967
115	18.346218	-65.72316	2.66667
116	18.224133	-65.908542	4.5
117	18.419693	-66.486784	3.923
118	18.173904	-66.935931	2.619
119	18.017565	-65.921093	2.6
120	18.208105	-67.102535	3.9585
121	18.183507	-67.155673	6.52
122	18.377751	-67.080344	2.41167
123	18.318386	-66.418034	2.63167
124	18.23201	-65.756036	2.65067
125	18.289927	-66.25344	3.5
126	18.215975	-66.433971	2.62233
127	18.029841	-66.017073	2.646
128	18.060879	-66.721106	2.614
129	17.995814	-66.562351	2.33633
130	17.987761	-66.619442	4.75733
131	18.00331	-66.613534	11.403
132	18.336124	-65.886392	3.5395
133	18.103874	-66.6246	2.34167
134	18.251473	-65.667381	2.34467
135	18.227881	-66.225428	2.34567
136	18.435389	-66.922625	3.9
137	18.33256	-67.227006	3.9665
138	18.147107	-65.976167	2.644
139	18.083	-66.943336	2.57133
140	17.969419	-66.224316	3.9485
141	17.993033	-66.390419	2.63233
142	18.107796	-67.037256	2.57333
143	18.464628	-66.101015	16.1547
144	18.451642	-66.083896	10.5
145	18.440945	-66.067285	10.812
146	18.451156	-66.057409	14.782
147	18.445621	-66.060692	16.1178
148	18.450154	-66.043647	17.5233
149	18.43732	-66.047551	17.465
150	18.4205	-66.050674	12.7333
151	18.421474	-66.067762	9.512
152	18.418443	-66.088935	8.2775
153	18.391715	-66.086408	12.53
154	18.410804	-66.037358	13.3907
155	18.397636	-66.014388	12.0433
156	18.400468	-66.050494	12.1067
157	18.346846	-66.056617	8.27633
158	18.397628	-66.065611	9.52133
159	18.336577	-66.974579	2.66667
160	18.126651	-66.47523	2.619
161	18.364556	-66.244669	5.222
162	18.429005	-66.213373	6.35667
163	18.428675	-66.183255	11.5275
164	18.337063	-66.000204	6.49333
165	18.269555	-66.70521	2.63833
166	18.436096	-66.336263	2.65067
167	18.422953	-66.397133	3.963
168	18.069388	-65.896526	2.66667
169	18.1038	-66.357586	2.33333
170	18.187201	-65.871196	4
