Node	x_coordinates	y_coordinates	demand

Main depot:
0	 18.37 		-66.00		0	

Satellite:
1	18.23045	-65.8957	0	
2	18.42878	-66.65266	0	
3	18.0389		-67.16445714	0	
4	18.48085	-67.0271	0	
5	18.2003		-67.1397	0	
6	18.2257		-66.3916	0	
7	18.06470714	-66.607	0	0
8	18.00124286	-66.25228571	0	
9	18.4037		-66.0636	0	
10	18.05778333	-65.8813	0	

Hotspot:				
11	18.05778333	-65.8813	0
12	18.2853		-67.148025	0
13	18.1638		-66.7235	0
14	18.36895	-67.17185	0
15	18.23415	-66.11915	0
16	18.12955	-66.263	0
17	17.996175	-66.04855	0
18	18.44058	-66.56362	0
19	18.1848		-66.3102	0
20	18.2343375	-66.0532125	0
21	18.432575	-66.8568	0
22	18.3406		-65.89896667	0
23	18.4054		-65.9792	0
24	18.1204		-66.13285	0
25	18.3343		-66.4704	0
26	18.2203		-66.2243	0
27	18.3411		-66.3124	0
28	18.3839		-66.1134	0
29	18.24986667	-65.98163333	0
30	18.44986	-66.79316	0
31	18.1406125	-65.8092125	0
32	18.036575	-66.507675	0
33	18.431		-65.8657	0
34	18.36303333	-65.72613333	0
35	18.442825	-66.48005	0
36	18.00546667	-65.9069	0
37	18.4213		-67.0912	0
38	18.33976667	-66.42586667	0
39	18.2202		-65.75502	0
40	17.99575	-65.99925	0
41	18.04455	-66.7192	0
42	18.4628		-66.94595	0
43	18.3312		-67.24885	0
44	18.0818		-67.06555	0
45	18.1752		-65.98335	0
46	18.333		-66.98236667	0
47	17.98958333	-66.39556667	0
48	18.281		-66.7199	0
49	18.4443		-66.32785	0
50	18.432225	-66.37195	0

Customer:
51	18.272581	-65.981177	3.4956
52	18.016871	-67.037189	2.358
53	18.278219	-66.866712	2.4
54	18.227596	-66.97758	2.3556
55	18.346218	-65.72316	2.4
56	18.224133	-65.908542	3.6
57	18.419693	-66.486784	3.5076
58	18.173904	-66.935931	2.3428
59	18.017565	-65.921093	2.32
60	18.208105	-67.102535	3.5502
61	18.183507	-67.155673	5.824
62	18.377751	-67.080344	2.094
63	18.318386	-66.418034	2.358
64	18.23201	-65.756036	2.3808
65	18.289927	-66.25344	3.5742
66	18.215975	-66.433971	2.3468
67	18.029841	-66.017073	2
68	18.060879	-66.721106	2.3368
69	17.995814	-66.562351	2.0036
70	17.987761	-66.619442	4.1088
71	18.00331	-66.613534	10.0836
72	18.336124	-65.886392	3.0474
73	18.103874	-66.6246	2
74	18.251473	-65.667381	2
75	18.227881	-66.225428	2.0148
76	18.435389	-66.922625	3.48
77	18.33256	-67.227006	3.5598
78	18.147107	-65.976167	2.7456
79	18.083	-66.943336	2.2856
80	17.969419	-66.224316	3.5382
81	17.993033	-66.390419	2.3588
82	18.107796	-67.037256	2.288
83	18.464628	-66.101015	14.1856
84	18.451642	-66.083896	9.3528
85	18.440945	-66.067285	9.3744
86	18.451156	-66.057409	12.9384
87	18.445621	-66.060692	14.1414
88	18.450154	-66.043647	15.428
89	18.43732	-66.047551	15.358
90	18.4205	-66.050674	10.64
91	18.421474	-66.067762	8.2144
92	18.418443	-66.088935	7.133
93	18.391715	-66.086408	10.518
94	18.410804	-66.037358	11.6688
95	18.397636	-66.014388	10
96	18.400468	-66.050494	10.528
97	18.346846	-66.056617	7
98	18.397628	-66.065611	8.2256
99	18.336577	-66.974579	2.4
100	18.126651	-66.47523	2.3428
101	18.364556	-66.244669	4.6664
102	18.429005	-66.213373	6.256
103	18.428675	-66.183255	10.233
104	18.337063	-66.000204	5.264
105	18.269555	-66.70521	2.366
106	18.436096	-66.336263	2.3808
107	18.422953	-66.397133	3.5556
108	18.069388	-65.896526	2.4
109	18.1038	-66.357586	2.3556
110	18.187201	-65.871196	3.6
