Node	x_coordinates	y_coordinates	demand

Main depot:
0	 18.37 		-66.00		0	

Satellite:
1	18.23045	-65.8957	0	
2	18.42878	-66.65266	0	
3	18.0389		-67.16445714	0	
4	18.48085	-67.0271	0	
5	18.2003		-67.1397	0	
6	18.2257		-66.3916	0	
7	18.06470714	-66.607	0	0
8	18.00124286	-66.25228571	0	
9	18.4037		-66.0636	0	
10	18.05778333	-65.8813	0	

Hotspot:				
11	18.05778333	-65.8813	0
12	18.2853		-67.148025	0
13	18.1638		-66.7235	0
14	18.36895	-67.17185	0
15	18.23415	-66.11915	0
16	18.12955	-66.263	0
17	17.996175	-66.04855	0
18	18.44058	-66.56362	0
19	18.1848		-66.3102	0
20	18.2343375	-66.0532125	0
21	18.432575	-66.8568	0
22	18.3406		-65.89896667	0
23	18.4054		-65.9792	0
24	18.1204		-66.13285	0
25	18.3343		-66.4704	0
26	18.2203		-66.2243	0
27	18.3411		-66.3124	0
28	18.3839		-66.1134	0
29	18.24986667	-65.98163333	0
30	18.44986	-66.79316	0
31	18.1406125	-65.8092125	0
32	18.036575	-66.507675	0
33	18.431		-65.8657	0
34	18.36303333	-65.72613333	0
35	18.442825	-66.48005	0
36	18.00546667	-65.9069	0
37	18.4213		-67.0912	0
38	18.33976667	-66.42586667	0
39	18.2202		-65.75502	0
40	17.99575	-65.99925	0
41	18.04455	-66.7192	0
42	18.4628		-66.94595	0
43	18.3312		-67.24885	0
44	18.0818		-67.06555	0
45	18.1752		-65.98335	0
46	18.333		-66.98236667	0
47	17.98958333	-66.39556667	0
48	18.281		-66.7199	0
49	18.4443		-66.32785	0
50	18.432225	-66.37195	0

Customer:
51	18.18156	-66.758147	2.2
52	18.358577	-67.174708	3.30943
53	18.452658	-67.125609	4.48629
54	18.492624	-67.096282	3.32486
55	18.248401	-66.130662	2.28571
56	18.129715	-66.266406	2.21771
57	18.293389	-67.12067	2.28571
58	18.412693	-66.703445	2.22371
59	18.40367	-66.664759	2.15457
60	18.452224	-66.603112	2.07743
61	18.382061	-66.619218	2.038
62	17.995867	-66.055529	3.38571
63	18.437505	-66.559407	3.375
64	18.050377	-66.495548	2.22229
65	18.319539	-66.16889	5.13286
66	18.368533	-66.187693	8.73486
67	18.382818	-66.154751	8.55886
68	18.411177	-66.158209	7.352
69	17.988103	-67.160357	2.07057
70	18.082397	-67.151152	2.25829
71	18.214723	-66.054737	4
72	18.029147	-66.665621	4.29829
73	18.41503	-66.861879	2.18486
74	18.025316	-66.620976	9.02514
75	18.438709	-65.999474	6
76	18.415125	-65.995854	7.346
77	18.414757	-65.975487	9.72257
78	18.354723	-65.939382	4.05543
79	18.375884	-65.964094	6.23143
80	18.441934	-66.145498	6.48943
81	18.217753	-65.770613	3.33557
82	18.104923	-66.151525	2.21429
83	18.015522	-66.258052	2.08457
84	18.191074	-66.613308	2.24171
85	18.23426	-65.732493	5.68786
86	18.438969	-65.905174	3.37029
87	18.30391	-66.326179	2.254
88	18.010626	-66.134578	2.24686
89	18.435949	-66.278379	3
90	18.174611	-66.163688	3.40457
91	18.15838	-65.767181	2.22114
92	18.349453	-66.578059	2.28571
93	17.965557	-66.945483	2.12486
94	17.995409	-66.990374	2.23543
95	18.144021	-65.817887	3.39986
96	18.037037	-66.79272	2.17143
97	18.411812	-66.121215	2.17086
98	18.425004	-66.121281	6.33171
99	18.400335	-66.114661	7.5
100	18.407775	-66.101312	7.447
101	18.368624	-66.108963	8.68343
102	18.318375	-66.119257	4.07143
103	18.094013	-66.565902	2
104	18.407397	-66.794979	2.21686
105	18.135593	-67.113645	3.38571
106	18.345798	-65.812326	2.24686
107	18.199014	-66.309782	2.24114
108	18.460356	-67.007868	2.252
109	18.210897	-66.586977	2.28571
110	18.465424	-66.104723	8.83086
111	18.272581	-65.981177	3.354
112	18.016871	-67.037189	2.25571
113	18.278219	-66.866712	2.28571
114	18.227596	-66.97758	2.254
115	18.346218	-65.72316	2.28571
116	18.224133	-65.908542	3
117	18.419693	-66.486784	3.36257
118	18.173904	-66.935931	2.24486
119	18.017565	-65.921093	2
120	18.208105	-67.102535	3.393
121	18.183507	-67.155673	5.58857
122	18.377751	-67.080344	2.06714
123	18.318386	-66.418034	2.25571
124	18.23201	-65.756036	2.272
125	18.289927	-66.25344	3.41014
126	18.215975	-66.433971	2.24771
127	18.029841	-66.017073	2
128	18.060879	-66.721106	2.24057
129	17.995814	-66.562351	2.00257
130	17.987761	-66.619442	4.07771
131	18.00331	-66.613534	9.774
132	18.336124	-65.886392	3
133	18.103874	-66.6246	2.00714
134	18.251473	-65.667381	2.00971
135	18.227881	-66.225428	2
136	18.435389	-66.922625	3.34286
137	18.33256	-67.227006	3.39986
138	18.147107	-65.976167	2.26629
139	18.083	-66.943336	2.204
140	17.969419	-66.224316	3.38443
