Node	x_coordinates	y_coordinates	nominal_demand	demand_varition

Main depot:
0	 18.37 		-66.00		0	0

Satellite:
1	18.23045	-65.8957	0	0
2	18.42878	-66.65266	0	0
3	18.0389		-67.16445714	0	0
4	18.48085	-67.0271	0	0
5	18.2003		-67.1397	0	0
6	18.2257		-66.3916	0	0
7	18.06470714	-66.607	0	0
8	18.00124286	-66.25228571	0	0
9	18.4037		-66.0636	0	0
10	18.05778333	-65.8813	0	0
				
Customer:
11	18.272581	-65.981177	3	0.826
12	18.016871	-67.037189	2	0.895
13	18.278219	-66.866712	2	1
14	18.227596	-66.97758	2	0.889
15	18.346218	-65.72316	2	1
16	18.224133	-65.908542	3	1
17	18.419693	-66.486784	3	0.846
18	18.173904	-66.935931	2	0.857
19	18.017565	-65.921093	2	0.8
20	18.208105	-67.102535	3	0.917
21	18.183507	-67.155673	5	0.824
22	18.377751	-67.080344	2	0.235
23	18.318386	-66.418034	2	0.895
24	18.23201	-65.756036	2	0.952
25	18.289927	-66.25344	3	0.957
26	18.215975	-66.433971	2	0.867
27	18.029841	-66.017073	2	0.938
28	18.060879	-66.721106	2	0.842
29	17.995814	-66.562351	2	0.009
30	17.987761	-66.619442	4	0.136
31	18.00331	-66.613534	9	0.602
32	18.336124	-65.886392	3	0.079
33	18.103874	-66.6246	2	0.025
34	18.251473	-65.667381	2	0.034
35	18.227881	-66.225428	2	0.037
36	18.435389	-66.922625	3	0.8
37	18.33256	-67.227006	3	0.933
38	18.147107	-65.976167	2	0.932
39	18.083		-66.943336	2	0.714
40	17.969419	-66.224316	3	0.897
41	17.993033	-66.390419	2	0.897
42	18.107796	-67.037256	2	0.72
43	18.464628	-66.101015	13	0.456
44	18.451642	-66.083896	9	0.196
45	18.440945	-66.067285	9	0.208
46	18.451156	-66.057409	12	0.391
47	18.445621	-66.060692	13	0.439
48	18.450154	-66.043647	14	0.51
49	18.43732	-66.047551	14	0.485
50	18.4205		-66.050674	10	0.32
51	18.421474	-66.067762	8	0.134
52	18.418443	-66.088935	7	0.095
53	18.391715	-66.086408	10	0.259
54	18.410804	-66.037358	11	0.304
55	18.397636	-66.014388	10	0.226
56	18.400468	-66.050494	10	0.264
57	18.346846	-66.056617	7	0.094
58	18.397628	-66.065611	8	0.141
59	18.336577	-66.974579	2	1
60	18.126651	-66.47523	2	0.857
61	18.364556	-66.244669	4	0.833
62	18.429005	-66.213373	5	0.628
63	18.428675	-66.183255	9	0.685
64	18.337063	-66.000204	5	0.264
65	18.269555	-66.70521	2	0.915
66	18.436096	-66.336263	2	0.952
67	18.422953	-66.397133	3	0.926
68	18.069388	-65.896526	2	1
69	18.1038		-66.357586	2	0.889
70	18.187201	-65.871196	3	1
